Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:12.B1,"urn:cite:hmt:vaimg.VA155RN-0327@0.1912,0.2006,0.0541,0.0135",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B2,"urn:cite:hmt:vaimg.VA155RN-0327@0.1912,0.2645,0.0761,0.012",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B3,"urn:cite:hmt:vaimg.VA155RN-0327@0.1902,0.284,0.028,0.012",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B4,"urn:cite:hmt:vaimg.VA155RN-0327@0.3504,0.2832,0.0911,0.0113",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B5,"urn:cite:hmt:vaimg.VA155RN-0327@0.4785,0.284,0.0931,0.0128",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B6,"urn:cite:hmt:vaimg.VA155RN-0327@0.2713,0.3013,0.049,0.012",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B7,"urn:cite:hmt:vaimg.VA155RN-0327@0.3844,0.402,0.037,0.0113",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B8,"urn:cite:hmt:vaimg.VA155RN-0327@0.4064,0.4207,0.0711,0.0135",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B9,"urn:cite:hmt:vaimg.VA155RN-0327@0.4254,0.4373,0.0651,0.0143",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B10,"urn:cite:hmt:vaimg.VA155RN-0327@0.5145,0.438,0.0881,0.015",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B11,"urn:cite:hmt:vaimg.VA155RN-0327@0.5155,0.4929,0.0771,0.0143",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B12,"urn:cite:hmt:vaimg.VA155RN-0327@0.3564,0.5109,0.0651,0.0128",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B13,"urn:cite:hmt:vaimg.VA155RN-0327@0.5205,0.5154,0.0691,0.0128",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B14,"urn:cite:hmt:vaimg.VA155RN-0327@0.5165,0.5702,0.0811,0.0135",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B15,"urn:cite:hmt:vaimg.VA155RN-0327@0.1822,0.5913,0.04,0.0105",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B16,"urn:cite:hmt:vaimg.VA155RN-0327@0.3033,0.5905,0.0531,0.0105",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B17,"urn:cite:hmt:vaimg.VA155RN-0327@0.3984,0.589,0.0841,0.0135",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAil.hmt:12.B18,"urn:cite:hmt:vaimg.VA155RN-0327@0.1982,0.6086,0.035,0.0098",urn:cite:hmt:msA.155r
