Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.26,"urn:cite:hmt:vaimg.VA155RN-0327@0.1776,0.21,0.4267,0.0242"
urn:cts:greekLit:tlg0012.tlg001.msA:12.27,"urn:cite:hmt:vaimg.VA155RN-0327@0.1756,0.2272,0.4217,0.028"
urn:cts:greekLit:tlg0012.tlg001.msA:12.28,"urn:cite:hmt:vaimg.VA155RN-0327@0.1781,0.2477,0.4281,0.0257"
urn:cts:greekLit:tlg0012.tlg001.msA:12.29,"urn:cite:hmt:vaimg.VA155RN-0327@0.1742,0.269,0.4054,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.30,"urn:cite:hmt:vaimg.VA155RN-0327@0.1642,0.2883,0.4088,0.0216"
urn:cts:greekLit:tlg0012.tlg001.msA:12.31,"urn:cite:hmt:vaimg.VA155RN-0327@0.1746,0.3043,0.4108,0.0265"
urn:cts:greekLit:tlg0012.tlg001.msA:12.32,"urn:cite:hmt:vaimg.VA155RN-0327@0.1726,0.3263,0.4197,0.0231"
urn:cts:greekLit:tlg0012.tlg001.msA:12.33,"urn:cite:hmt:vaimg.VA155RN-0327@0.1756,0.3457,0.4103,0.0246"
urn:cts:greekLit:tlg0012.tlg001.msA:12.34,"urn:cite:hmt:vaimg.VA155RN-0327@0.1766,0.3643,0.4197,0.0224"
urn:cts:greekLit:tlg0012.tlg001.msA:12.35,"urn:cite:hmt:vaimg.VA155RN-0327@0.1716,0.3826,0.4247,0.025"
urn:cts:greekLit:tlg0012.tlg001.msA:12.36,"urn:cite:hmt:vaimg.VA155RN-0327@0.1706,0.4031,0.4336,0.0257"
urn:cts:greekLit:tlg0012.tlg001.msA:12.37,"urn:cite:hmt:vaimg.VA155RN-0327@0.1671,0.4225,0.4202,0.022"
urn:cts:greekLit:tlg0012.tlg001.msA:12.38,"urn:cite:hmt:vaimg.VA155RN-0327@0.1615,0.4396,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.39,"urn:cite:hmt:vaimg.VA155RN-0327@0.1604,0.459,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.40,"urn:cite:hmt:vaimg.VA155RN-0327@0.1632,0.4775,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.41,"urn:cite:hmt:vaimg.VA155RN-0327@0.1588,0.496,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.42,"urn:cite:hmt:vaimg.VA155RN-0327@0.1582,0.5145,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.43,"urn:cite:hmt:vaimg.VA155RN-0327@0.1561,0.5327,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.44,"urn:cite:hmt:vaimg.VA155RN-0327@0.1561,0.5557,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.45,"urn:cite:hmt:vaimg.VA155RN-0327@0.1588,0.5751,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.46,"urn:cite:hmt:vaimg.VA155RN-0327@0.15,0.5936,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.47,"urn:cite:hmt:vaimg.VA155RN-0327@0.1522,0.6129,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.48,"urn:cite:hmt:vaimg.VA155RN-0327@0.155,0.6315,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.49,"urn:cite:hmt:vaimg.VA155RN-0327@0.1544,0.6504,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.50,"urn:cite:hmt:vaimg.VA155RN-0327@0.161,0.671,0.446,0.0255"
